city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
castelo branco;8;459;0.1972;jinko_solar;405;0.8
castelo branco;9;426;0.1972;jinko_solar;405;0.8
castelo branco;10;408;0.1972;jinko_solar;405;0.8
castelo branco;11;383;0.1972;jinko_solar;405;0.8
castelo branco;12;368;0.1972;jinko_solar;405;0.8
viana do castelo;1;373;0.1972;jinko_solar;405;0.8
viana do castelo;2;378;0.1972;jinko_solar;405;0.8
viana do castelo;3;401;0.1972;jinko_solar;405;0.8
viana do castelo;4;417;0.1972;jinko_solar;405;0.8
viana do castelo;5;429;0.1972;jinko_solar;405;0.8
viana do castelo;6;452;0.1972;jinko_solar;405;0.8
viana do castelo;7;466;0.1972;jinko_solar;405;0.8
viana do castelo;8;459;0.1972;jinko_solar;405;0.8
viana do castelo;9;426;0.1972;jinko_solar;405;0.8
viana do castelo;10;408;0.1972;jinko_solar;405;0.8
viana do castelo;11;383;0.1972;jinko_solar;405;0.8
viana do castelo;12;368;0.1972;jinko_solar;405;0.8
valencia;1;470;0.2966;jinko_solar;405;0.8
valencia;2;443;0.2966;jinko_solar;405;0.8
valencia;3;460;0.2966;jinko_solar;405;0.8
valencia;4;459;0.2966;jinko_solar;405;0.8
valencia;5;454;0.2966;jinko_solar;405;0.8
valencia;6;465;0.2966;jinko_solar;405;0.8
valencia;7;473;0.2966;jinko_solar;405;0.8
valencia;8;463;0.2966;jinko_solar;405;0.8
valencia;9;451;0.2966;jinko_solar;405;0.8
valencia;10;440;0.2966;jinko_solar;405;0.8
valencia;11;425;0.2966;jinko_solar;405;0.8
valencia;12;425;0.2966;jinko_solar;405;0.8
